Age Group,Investment Time Horizon,Risk Type,Allocation
25-35,9,Equity – Mod,70.0
25-35,10,Equity – Mod,60.0
25-35,11,Equity – Mod,50.0
25-35,12,Equity – Mod,40.0
25-35,13,Equity – Mod,40.0
25-35,14,Equity – Mod,40.0
25-35,15,Equity – Mod,40.0
25-35,16,Equity – Mod,40.0
25-35,17,Equity – Mod,40.0
25-35,18,Equity – Mod,40.0
25-35,19,Equity – Mod,40.0
25-35,20,Equity – Mod,40.0
25-35,21,Equity – Mod,40.0
25-35,22,Equity – Mod,40.0
25-35,23,Equity – Mod,40.0
25-35,24,Equity – Mod,40.0
25-35,25,Equity – Mod,40.0
25-35,26,Equity – Mod,40.0
25-35,27,Equity – Mod,40.0
25-35,28,Equity – Mod,40.0
25-35,29,Equity – Mod,40.0
25-35,30,Equity – Mod,40.0
25-35,31,Equity – Mod,40.0
25-35,32,Equity – Mod,40.0
25-35,33,Equity – Mod,40.0
25-35,34,Equity – Mod,40.0
25-35,35,Equity – Mod,40.0
25-35,36,Equity – Mod,40.0
25-35,37,Equity – Mod,40.0
25-35,38,Equity – Mod,40.0
25-35,39,Equity – Mod,40.0
25-35,40,Equity – Mod,40.0
25-35,41,Equity – Mod,40.0
25-35,42,Equity – Mod,40.0
25-35,43,Equity – Mod,40.0
25-35,44,Equity – Mod,40.0
25-35,45,Equity – Mod,40.0
25-35,46,Equity – Mod,40.0
25-35,47,Equity – Mod,40.0
25-35,48,Equity – Mod,40.0
25-35,49,Equity – Mod,40.0
25-35,50,Equity – Mod,40.0
25-35,< 3M,Equity – Agg,
25-35,< 6M,Equity – Agg,
25-35,< 1Y,Equity – Agg,
25-35,1,Equity – Agg,
25-35,2,Equity – Agg,
25-35,3,Equity – Agg,
25-35,4,Equity – Agg,
25-35,5,Equity – Agg,
25-35,6,Equity – Agg,
25-35,7,Equity – Agg,
25-35,8,Equity – Agg,20.0
25-35,9,Equity – Agg,30.0
25-35,10,Equity – Agg,40.0
25-35,11,Equity – Agg,50.0
25-35,12,Equity – Agg,60.0
25-35,13,Equity – Agg,60.0
25-35,14,Equity – Agg,60.0
25-35,15,Equity – Agg,60.0
25-35,16,Equity – Agg,60.0
25-35,17,Equity – Agg,60.0
25-35,18,Equity – Agg,60.0
25-35,19,Equity – Agg,60.0
25-35,20,Equity – Agg,60.0
25-35,21,Equity – Agg,60.0
25-35,22,Equity – Agg,60.0
25-35,23,Equity – Agg,60.0
25-35,24,Equity – Agg,60.0
25-35,25,Equity – Agg,60.0
25-35,26,Equity – Agg,60.0
25-35,27,Equity – Agg,60.0
25-35,28,Equity – Agg,60.0
25-35,29,Equity – Agg,60.0
25-35,30,Equity – Agg,60.0
25-35,31,Equity – Agg,60.0
25-35,32,Equity – Agg,60.0
25-35,33,Equity – Agg,60.0
25-35,34,Equity – Agg,60.0
25-35,35,Equity – Agg,60.0
25-35,36,Equity – Agg,60.0
25-35,37,Equity – Agg,60.0
25-35,38,Equity – Agg,60.0
25-35,39,Equity – Agg,60.0
25-35,40,Equity – Agg,60.0
25-35,41,Equity – Agg,60.0
25-35,42,Equity – Agg,60.0
25-35,43,Equity – Agg,60.0
25-35,44,Equity – Agg,60.0
25-35,45,Equity – Agg,60.0
25-35,46,Equity – Agg,60.0
25-35,47,Equity – Agg,60.0
25-35,48,Equity – Agg,60.0
25-35,49,Equity – Agg,60.0
25-35,50,Equity – Agg,60.0
35-45,< 3M,Liquid,100.0
35-45,< 6M,Liquid,60.0
35-45,< 1Y,Liquid,20.0
35-45,1,Liquid,
35-45,2,Liquid,
35-45,3,Liquid,
35-45,4,Liquid,
35-45,5,Liquid,
35-45,6,Liquid,
35-45,7,Liquid,
35-45,8,Liquid,
35-45,9,Liquid,
35-45,10,Liquid,
35-45,11,Liquid,
35-45,12,Liquid,
35-45,13,Liquid,
35-45,14,Liquid,
35-45,15,Liquid,
35-45,16,Liquid,
35-45,17,Liquid,
35-45,18,Liquid,
35-45,19,Liquid,
35-45,20,Liquid,
35-45,21,Liquid,
35-45,22,Liquid,
35-45,23,Liquid,
35-45,24,Liquid,
35-45,25,Liquid,
35-45,26,Liquid,
35-45,27,Liquid,
35-45,28,Liquid,
35-45,29,Liquid,
35-45,30,Liquid,
35-45,31,Liquid,
35-45,32,Liquid,
35-45,33,Liquid,
35-45,34,Liquid,
35-45,35,Liquid,
35-45,36,Liquid,
35-45,37,Liquid,
35-45,38,Liquid,
35-45,39,Liquid,
35-45,40,Liquid,
35-45,41,Liquid,
35-45,42,Liquid,
35-45,43,Liquid,
35-45,44,Liquid,
35-45,45,Liquid,
35-45,46,Liquid,
35-45,47,Liquid,
35-45,48,Liquid,
35-45,49,Liquid,
35-45,50,Liquid,
35-45,< 3M,Short Term,
35-45,< 6M,Short Term,40.0
35-45,< 1Y,Short Term,80.0
35-45,1,Short Term,80.0
35-45,2,Short Term,
35-45,3,Short Term,
35-45,4,Short Term,
35-45,5,Short Term,
35-45,6,Short Term,
35-45,7,Short Term,
35-45,8,Short Term,
35-45,9,Short Term,
35-45,10,Short Term,
35-45,11,Short Term,
35-45,12,Short Term,
35-45,13,Short Term,
35-45,14,Short Term,
35-45,15,Short Term,
35-45,16,Short Term,
